學校代碼,學校名稱,日間∕進修別,教師學歷,教授男,教授女,副教授男,副教授女,助理教授男,助理教授女,講師男,講師女,其他男,其他女,助教男,助教女,縣市名稱
0001,國立政治大學,日,博士,199,100,130,89,84,58,0,0,0,0,0,0,30 臺北市
0001,國立政治大學,日,碩士,3,1,7,3,1,2,11,19,1,2,0,6,30 臺北市
0001,國立政治大學,日,學士,0,0,2,0,0,0,1,1,1,2,3,18,30 臺北市
0002,國立清華大學,日,博士,309,52,110,59,59,29,0,0,12,2,0,0,18 新竹市
0002,國立清華大學,日,碩士,1,0,0,0,6,0,2,2,2,9,0,0,18 新竹市
0002,國立清華大學,日,學士,1,1,0,0,0,0,0,0,6,0,0,0,18 新竹市
0003,國立臺灣大學,日,博士,863,237,310,147,199,132,6,2,17,13,0,0,30 臺北市
0003,國立臺灣大學,日,碩士,6,5,8,6,4,6,5,10,3,9,3,6,30 臺北市
0003,國立臺灣大學,日,學士,22,7,12,3,9,3,5,1,1,0,0,6,30 臺北市
0004,國立臺灣師範大學,日,博士,255,137,129,129,52,54,1,2,6,12,2,0,30 臺北市
0004,國立臺灣師範大學,日,碩士,18,4,4,6,1,0,15,18,10,10,1,6,30 臺北市
0004,國立臺灣師範大學,日,學士,2,0,0,0,0,0,0,0,4,1,1,7,30 臺北市
0004,國立臺灣師範大學,日,其他,3,3,0,0,1,0,0,0,0,0,0,0,30 臺北市
0005,國立成功大學,日,博士,484,99,240,91,164,88,4,3,0,0,0,1,21 臺南市
0005,國立成功大學,日,碩士,13,1,13,3,7,2,10,11,5,0,5,6,21 臺南市
0005,國立成功大學,日,學士,40,4,21,5,10,1,2,1,2,3,5,3,21 臺南市
0006,國立中興大學,日,博士,336,62,144,39,88,37,2,1,2,1,0,0,19 臺中市
0006,國立中興大學,日,碩士,2,0,5,1,3,1,13,7,2,4,5,7,19 臺中市
0006,國立中興大學,日,學士,1,0,2,1,0,0,0,3,4,1,0,4,19 臺中市
0007,國立交通大學,日,博士,337,44,127,39,82,34,0,1,9,5,0,0,18 新竹市
0007,國立交通大學,日,碩士,5,0,3,0,4,3,3,4,4,12,0,0,18 新竹市
0007,國立交通大學,日,學士,0,0,0,0,1,0,1,0,1,0,0,1,18 新竹市
0008,國立中央大學,日,博士,273,50,136,32,93,31,0,1,0,0,0,0,03 桃園市
0008,國立中央大學,日,碩士,2,0,1,1,3,0,10,14,2,1,0,2,03 桃園市
0008,國立中央大學,日,學士,0,0,1,1,0,0,0,0,0,2,0,7,03 桃園市
0009,國立中山大學,日,博士,206,43,87,26,89,49,1,0,0,0,0,0,50 高雄市
0009,國立中山大學,日,碩士,0,1,1,0,0,0,4,5,1,0,0,1,50 高雄市
0009,國立中山大學,日,學士,0,0,0,0,0,0,0,0,2,1,0,7,50 高雄市
0009,國立中山大學,日,專科,0,0,0,0,1,0,0,0,0,0,0,0,50 高雄市
0012,國立臺灣海洋大學,日,博士,151,14,93,20,81,18,0,0,0,0,0,0,17 基隆市
0012,國立臺灣海洋大學,日,碩士,1,0,0,1,2,0,5,1,1,1,3,5,17 基隆市
0012,國立臺灣海洋大學,日,學士,0,0,0,0,0,0,0,0,2,0,4,7,17 基隆市
0013,國立中正大學,日,博士,188,60,143,53,40,22,0,0,9,5,0,0,10 嘉義縣
0013,國立中正大學,日,碩士,1,0,0,1,3,1,3,0,3,9,0,0,10 嘉義縣
0013,國立中正大學,日,學士,1,0,0,0,0,0,0,0,1,0,0,0,10 嘉義縣
0014,國立高雄師範大學,日,博士,79,34,70,39,22,30,0,0,1,0,2,4,50 高雄市
0014,國立高雄師範大學,日,碩士,4,2,4,0,2,0,0,1,2,3,0,0,50 高雄市
0014,國立高雄師範大學,日,學士,0,0,0,0,0,0,0,0,0,0,0,2,50 高雄市
0015,國立彰化師範大學,日,博士,123,47,82,45,29,22,0,1,5,3,0,0,07 彰化縣
0015,國立彰化師範大學,日,碩士,3,0,1,0,6,2,4,4,1,1,0,0,07 彰化縣
0015,國立彰化師範大學,日,學士,0,0,1,0,0,0,0,0,0,1,0,0,07 彰化縣
0016,國立陽明大學,日,博士,112,62,69,38,30,30,0,1,0,0,0,0,30 臺北市
0016,國立陽明大學,日,碩士,4,1,2,2,2,2,3,3,1,1,1,1,30 臺北市
0016,國立陽明大學,日,學士,17,2,5,3,7,1,1,0,2,1,1,3,30 臺北市
0017,國立臺北大學,日,博士,95,29,62,43,60,50,0,0,5,1,1,0,01 新北市
0017,國立臺北大學,日,碩士,1,0,0,2,0,0,5,8,2,1,1,5,01 新北市
0017,國立臺北大學,日,學士,0,0,0,0,0,0,0,0,0,1,0,5,01 新北市
0018,國立嘉義大學,日,博士,126,38,110,53,67,40,2,1,14,7,0,0,20 嘉義市
0018,國立嘉義大學,日,碩士,7,1,9,2,4,2,9,11,6,4,0,2,20 嘉義市
0018,國立嘉義大學,日,學士,0,0,1,0,0,0,0,0,4,1,0,3,20 嘉義市
0019,國立高雄大學,日,博士,71,12,57,25,34,11,0,0,3,1,0,0,50 高雄市
0019,國立高雄大學,日,碩士,2,1,2,1,2,1,1,0,2,4,0,0,50 高雄市
0019,國立高雄大學,日,學士,0,0,0,0,0,0,0,0,1,0,0,0,50 高雄市
0019,國立高雄大學,日,專科,0,0,0,0,0,0,0,0,1,0,0,0,50 高雄市
0020,國立東華大學,日,博士,126,46,121,77,54,43,1,2,0,0,0,0,15 花蓮縣
0020,國立東華大學,日,碩士,2,2,1,5,2,1,16,7,0,1,0,0,15 花蓮縣
0020,國立東華大學,日,學士,0,0,0,0,0,0,0,0,1,0,0,0,15 花蓮縣
0020,國立東華大學,日,專科,0,0,0,0,0,0,0,0,1,0,0,0,15 花蓮縣
0021,國立暨南國際大學,日,博士,75,23,62,44,27,14,0,0,5,2,0,0,08 南投縣
0021,國立暨南國際大學,日,碩士,0,0,0,0,0,1,1,0,3,3,0,0,08 南投縣
0021,國立暨南國際大學,日,專科,0,0,0,0,0,0,0,0,1,1,0,0,08 南投縣
0022,國立臺灣科技大學,日,博士,194,22,112,29,63,20,0,2,3,1,0,1,30 臺北市
0022,國立臺灣科技大學,日,碩士,1,0,0,0,4,4,9,2,0,0,0,1,30 臺北市
0022,國立臺灣科技大學,日,學士,0,0,0,0,1,0,1,0,0,0,0,0,30 臺北市
0023,國立雲林科技大學,日,博士,117,12,103,23,36,14,0,0,1,0,0,1,09 雲林縣
0023,國立雲林科技大學,日,碩士,3,0,12,2,10,3,7,2,8,5,1,5,09 雲林縣
0023,國立雲林科技大學,日,學士,0,0,0,0,0,0,0,0,2,0,0,0,09 雲林縣
0023,國立雲林科技大學,日,專科,0,0,0,0,0,0,0,0,1,0,0,0,09 雲林縣
0024,國立屏東科技大學,日,博士,109,27,95,33,53,31,0,0,0,0,0,0,13 屏東縣
0024,國立屏東科技大學,日,碩士,2,1,5,1,1,2,9,9,4,3,0,0,13 屏東縣
0024,國立屏東科技大學,日,學士,0,0,1,1,0,0,0,0,2,0,0,1,13 屏東縣
0024,國立屏東科技大學,日,其他,0,0,1,0,0,0,0,0,0,0,0,0,13 屏東縣
0025,國立臺北科技大學,日,博士,159,14,129,27,49,16,0,0,0,3,0,0,30 臺北市
0025,國立臺北科技大學,日,碩士,2,0,10,4,4,1,12,2,5,7,2,2,30 臺北市
0025,國立臺北科技大學,日,學士,1,0,1,0,0,0,0,0,3,1,1,5,30 臺北市
0026,國立高雄第一科技大學,日,博士,73,15,72,23,37,14,0,0,3,3,0,0,12 高雄市
0026,國立高雄第一科技大學,日,碩士,1,0,1,0,1,1,3,4,5,3,0,0,12 高雄市
0026,國立高雄第一科技大學,日,學士,0,0,0,0,0,0,0,0,1,1,0,0,12 高雄市
0027,國立高雄應用科技大學,日,博士,90,11,100,22,44,18,0,0,0,0,0,0,50 高雄市
0027,國立高雄應用科技大學,日,碩士,0,0,13,2,7,3,12,7,5,1,6,4,50 高雄市
0027,國立高雄應用科技大學,日,學士,6,0,1,2,1,1,0,0,1,1,1,6,50 高雄市
0028,國立臺北藝術大學,日,博士,8,10,16,14,7,16,0,0,1,0,0,0,30 臺北市
0028,國立臺北藝術大學,日,碩士,8,6,10,10,8,5,9,3,3,1,0,3,30 臺北市
0028,國立臺北藝術大學,日,學士,0,0,0,0,0,0,0,0,5,1,1,9,30 臺北市
0028,國立臺北藝術大學,日,專科,0,0,0,0,0,0,0,0,2,0,0,0,30 臺北市
0028,國立臺北藝術大學,日,其他,0,0,0,0,0,0,0,0,7,0,1,0,30 臺北市
0029,國立臺灣藝術大學,日,博士,17,9,13,20,15,6,0,0,0,0,0,0,01 新北市
0029,國立臺灣藝術大學,日,碩士,15,9,15,8,8,3,6,3,0,2,0,0,01 新北市
0029,國立臺灣藝術大學,日,學士,3,0,2,1,2,0,0,0,0,1,0,0,01 新北市
0029,國立臺灣藝術大學,日,其他,3,0,2,0,2,0,0,0,0,0,0,0,01 新北市
0030,國立臺東大學,日,博士,25,9,42,20,39,14,0,0,1,4,0,0,14 臺東縣
0030,國立臺東大學,日,碩士,2,2,2,0,3,1,3,4,7,1,0,0,14 臺東縣
0030,國立臺東大學,日,學士,0,0,1,0,0,0,0,0,1,2,0,0,14 臺東縣
0031,國立宜蘭大學,日,博士,70,10,61,14,24,7,1,0,0,0,0,0,02 宜蘭縣
0031,國立宜蘭大學,日,碩士,2,0,4,5,1,2,18,14,1,1,1,1,02 宜蘭縣
0031,國立宜蘭大學,日,學士,0,0,1,0,0,0,0,0,0,1,0,0,02 宜蘭縣
0032,國立聯合大學,日,博士,54,8,94,20,22,12,0,1,0,1,0,0,05 苗栗縣
0032,國立聯合大學,日,碩士,3,0,12,9,12,7,16,9,3,1,1,0,05 苗栗縣
0032,國立聯合大學,日,學士,0,0,0,1,4,0,2,2,0,0,0,0,05 苗栗縣
0032,國立聯合大學,日,專科,0,0,0,0,1,0,0,0,0,0,0,0,05 苗栗縣
0033,國立虎尾科技大學,日,博士,84,4,102,29,50,12,0,0,4,1,0,0,09 雲林縣
0033,國立虎尾科技大學,日,碩士,2,0,6,2,10,1,10,5,1,3,0,0,09 雲林縣
0033,國立虎尾科技大學,日,學士,0,0,0,0,1,0,0,1,2,0,0,0,09 雲林縣
0034,國立高雄海洋科技大學,日,博士,39,6,65,23,31,9,0,0,1,0,0,0,50 高雄市
0034,國立高雄海洋科技大學,日,碩士,1,0,2,1,9,6,9,9,5,0,0,0,50 高雄市
0034,國立高雄海洋科技大學,日,學士,0,0,1,0,2,0,1,2,2,2,0,0,50 高雄市
0035,國立臺南藝術大學,日,博士,5,4,8,7,9,15,0,0,1,0,0,0,11 臺南市
0035,國立臺南藝術大學,日,碩士,5,3,7,3,7,8,0,1,9,5,0,0,11 臺南市
0035,國立臺南藝術大學,日,學士,0,0,0,0,0,0,0,0,1,4,0,0,11 臺南市
0036,國立臺南大學,日,博士,63,32,48,30,15,31,0,0,1,0,0,0,21 臺南市
0036,國立臺南大學,日,碩士,2,2,4,4,0,2,0,1,0,1,0,0,21 臺南市
0036,國立臺南大學,日,學士,1,0,0,0,0,0,1,0,1,1,0,2,21 臺南市
0037,國立臺北教育大學,日,博士,56,43,30,28,17,31,1,0,0,0,0,0,30 臺北市
0037,國立臺北教育大學,日,碩士,6,0,2,1,0,1,4,2,1,2,0,1,30 臺北市
0037,國立臺北教育大學,日,學士,0,0,0,0,0,0,0,0,1,0,0,1,30 臺北市
0038,國立新竹教育大學,日,博士,33,19,29,47,13,18,0,0,0,0,0,0,18 新竹市
0038,國立新竹教育大學,日,碩士,4,2,2,2,1,0,1,1,0,3,0,0,18 新竹市
0038,國立新竹教育大學,日,學士,0,0,1,0,0,0,0,0,0,0,0,0,18 新竹市
0039,國立臺中教育大學,日,博士,37,23,35,32,27,14,0,0,0,0,0,0,19 臺中市
0039,國立臺中教育大學,日,碩士,5,5,4,1,0,0,3,6,4,1,0,0,19 臺中市
0039,國立臺中教育大學,日,學士,0,0,0,0,0,0,0,0,0,0,0,1,19 臺中市
0042,國立澎湖科技大學,日,博士,21,4,19,12,23,6,0,0,0,0,0,0,16 澎湖縣
0042,國立澎湖科技大學,日,碩士,0,0,6,3,5,8,4,2,0,0,0,0,16 澎湖縣
0042,國立澎湖科技大學,日,學士,0,0,0,0,0,0,2,1,1,0,0,0,16 澎湖縣
0042,國立澎湖科技大學,日,其他,0,0,1,0,0,0,1,0,0,0,0,0,16 澎湖縣
0043,國立勤益科技大學,日,博士,65,14,71,21,15,5,1,0,12,2,0,0,06 臺中市
0043,國立勤益科技大學,日,碩士,2,2,16,7,17,6,15,7,1,1,0,0,06 臺中市
0043,國立勤益科技大學,日,學士,0,0,1,1,1,0,1,0,3,1,0,0,06 臺中市
0043,國立勤益科技大學,日,專科,0,0,0,0,0,0,0,0,2,0,0,0,06 臺中市
0044,國立體育大學,日,博士,18,4,16,5,12,4,0,0,0,0,0,0,03 桃園市
0044,國立體育大學,日,碩士,2,0,5,6,1,3,3,4,6,2,0,0,03 桃園市
0046,國立臺北護理健康大學,日,博士,13,20,17,35,10,24,0,0,0,0,0,0,30 臺北市
0046,國立臺北護理健康大學,日,碩士,1,1,1,1,0,2,1,17,1,23,0,0,30 臺北市
0047,國立高雄餐旅大學,日,博士,10,8,32,17,14,12,0,0,0,0,0,0,50 高雄市
0047,國立高雄餐旅大學,日,碩士,1,1,6,1,6,1,8,4,10,0,0,0,50 高雄市
0047,國立高雄餐旅大學,日,學士,0,0,0,0,0,0,0,0,3,1,0,0,50 高雄市
0047,國立高雄餐旅大學,日,專科,0,0,0,0,0,0,0,0,1,0,0,0,50 高雄市
0048,國立金門大學,日,博士,19,0,32,13,45,15,0,0,0,0,0,0,71 金門縣
0048,國立金門大學,日,碩士,1,0,2,2,4,2,2,0,0,0,0,0,71 金門縣
0048,國立金門大學,日,學士,0,0,0,0,0,0,0,0,3,0,0,0,71 金門縣
0049,國立臺灣體育運動大學,日,博士,11,3,11,8,13,7,0,0,0,0,0,0,19 臺中市
0049,國立臺灣體育運動大學,日,碩士,3,1,4,4,9,0,8,5,2,1,0,0,19 臺中市
0049,國立臺灣體育運動大學,日,學士,0,0,2,1,0,0,0,0,1,1,0,0,19 臺中市
0050,國立臺中科技大學,日,博士,32,21,56,53,38,44,0,0,0,0,0,0,19 臺中市
0050,國立臺中科技大學,日,碩士,5,2,12,20,8,23,14,34,3,15,0,0,19 臺中市
0050,國立臺中科技大學,日,學士,2,2,1,2,0,1,0,0,3,10,0,2,19 臺中市
0051,國立臺北商業大學,日,博士,18,8,41,31,17,16,0,0,0,1,0,0,30 臺北市
0051,國立臺北商業大學,日,碩士,2,1,4,5,1,2,12,24,7,5,0,0,30 臺北市
0051,國立臺北商業大學,日,學士,0,0,0,0,0,0,1,2,2,1,1,3,30 臺北市
0052,國立屏東大學,日,博士,40,17,95,64,40,40,0,0,0,1,0,0,13 屏東縣
0052,國立屏東大學,日,碩士,2,1,4,1,4,1,16,15,3,1,0,2,13 屏東縣
0052,國立屏東大學,日,學士,0,0,0,0,0,0,0,0,0,0,0,3,13 屏東縣
0144,國立臺灣戲曲學院,日,博士,1,0,2,2,2,2,0,0,0,0,0,0,30 臺北市
0144,國立臺灣戲曲學院,日,碩士,1,0,3,2,2,5,4,2,0,1,0,0,30 臺北市
0144,國立臺灣戲曲學院,日,學士,0,0,1,1,0,0,0,0,1,0,0,0,30 臺北市
0144,國立臺灣戲曲學院,日,其他,0,0,0,0,0,0,1,1,0,0,0,0,30 臺北市
0221,國立臺南護理專科學校,日,博士,3,1,7,7,6,13,0,0,0,0,0,0,21 臺南市
0221,國立臺南護理專科學校,日,碩士,0,0,0,1,0,1,1,10,0,0,0,0,21 臺南市
0221,國立臺南護理專科學校,日,學士,0,0,0,0,0,0,0,0,1,1,0,0,21 臺南市
0222,國立臺東專科學校,日,博士,7,1,8,2,14,6,0,0,0,0,0,0,14 臺東縣
0222,國立臺東專科學校,日,碩士,0,0,0,0,0,2,10,10,4,0,0,0,14 臺東縣
0222,國立臺東專科學校,日,學士,0,0,0,0,0,0,0,0,7,0,0,0,14 臺東縣
1001,東海大學,日,博士,113,17,120,48,82,60,0,4,0,0,0,0,19 臺中市
1001,東海大學,日,碩士,7,3,12,6,4,1,21,17,7,7,2,3,19 臺中市
1001,東海大學,日,學士,0,0,0,0,0,0,1,0,4,2,2,1,19 臺中市
1001,東海大學,日,專科,0,0,0,1,0,0,0,0,0,0,0,0,19 臺中市
1001,東海大學,修,博士,0,0,0,0,1,0,0,0,0,0,0,0,19 臺中市
1001,東海大學,修,碩士,0,0,0,0,0,0,1,0,0,0,0,0,19 臺中市
1002,輔仁大學,日,博士,82,48,145,104,105,90,0,0,14,2,0,0,01 新北市
1002,輔仁大學,日,碩士,9,6,14,15,5,5,15,25,9,8,0,0,01 新北市
1002,輔仁大學,日,學士,2,1,3,2,0,0,1,1,2,2,0,0,01 新北市
1002,輔仁大學,日,專科,0,0,0,0,0,0,0,0,1,0,0,0,01 新北市
1003,東吳大學,日,博士,92,36,72,69,42,30,0,0,4,2,0,0,30 臺北市
1003,東吳大學,日,碩士,7,4,6,10,0,0,16,22,10,5,0,2,30 臺北市
1003,東吳大學,日,學士,0,1,2,3,0,0,2,0,4,0,0,0,30 臺北市
1003,東吳大學,日,專科,0,0,0,0,0,0,0,0,1,0,0,0,30 臺北市
1003,東吳大學,日,其他,0,0,1,0,0,0,1,0,0,1,0,0,30 臺北市
1004,中原大學,日,博士,115,19,103,41,98,60,1,0,6,1,0,0,03 桃園市
1004,中原大學,日,碩士,3,0,8,4,4,1,11,11,14,6,0,0,03 桃園市
1004,中原大學,日,學士,0,0,0,0,0,0,0,0,3,1,0,0,03 桃園市
1005,淡江大學,日,博士,179,49,194,99,78,98,0,0,4,2,0,0,01 新北市
1005,淡江大學,日,碩士,5,2,12,10,5,2,21,15,19,11,0,0,01 新北市
1005,淡江大學,日,學士,0,1,2,2,0,0,0,0,3,0,0,2,01 新北市
1005,淡江大學,日,專科,0,0,0,0,0,0,0,0,1,0,0,0,01 新北市
1006,中國文化大學,日,博士,122,34,145,85,104,76,0,1,5,4,0,0,30 臺北市
1006,中國文化大學,日,碩士,10,7,20,12,12,3,17,10,18,8,0,0,30 臺北市
1006,中國文化大學,日,學士,3,2,1,5,1,0,0,1,7,2,0,0,30 臺北市
1006,中國文化大學,日,專科,0,1,0,0,0,0,0,0,0,1,0,0,30 臺北市
1006,中國文化大學,日,其他,0,0,0,0,0,0,0,0,2,0,0,0,30 臺北市
1006,中國文化大學,修,博士,3,1,14,4,7,6,0,0,2,0,0,0,30 臺北市
1006,中國文化大學,修,碩士,0,0,0,0,0,2,5,6,2,4,0,0,30 臺北市
1006,中國文化大學,修,學士,0,0,0,0,0,0,0,0,1,0,0,0,30 臺北市
1007,逢甲大學,日,博士,155,21,179,45,98,47,3,1,9,0,0,0,19 臺中市
1007,逢甲大學,日,碩士,1,0,6,0,4,1,29,16,16,4,0,1,19 臺中市
1007,逢甲大學,日,學士,0,0,0,0,0,0,1,0,3,1,0,0,19 臺中市
1007,逢甲大學,日,專科,0,0,1,0,0,0,0,1,0,1,0,0,19 臺中市
1008,靜宜大學,日,博士,58,21,68,59,44,36,0,1,4,5,0,0,06 臺中市
1008,靜宜大學,日,碩士,2,1,9,2,3,1,10,17,14,5,0,0,06 臺中市
1008,靜宜大學,日,學士,1,1,0,1,0,0,1,0,2,0,0,0,06 臺中市
1009,長庚大學,日,博士,122,33,101,36,101,71,0,2,0,0,0,0,03 桃園市
1009,長庚大學,日,碩士,0,1,0,2,12,7,8,11,1,1,0,0,03 桃園市
1009,長庚大學,日,學士,20,4,27,6,24,2,10,3,2,2,0,0,03 桃園市
1010,元智大學,日,博士,70,12,68,32,59,38,0,1,0,0,0,0,03 桃園市
1010,元智大學,日,碩士,2,0,1,1,4,2,9,2,5,1,0,0,03 桃園市
1010,元智大學,日,學士,0,0,1,0,1,1,1,0,0,1,0,0,03 桃園市
1011,中華大學,日,博士,55,12,66,20,36,29,0,1,3,1,0,0,18 新竹市
1011,中華大學,日,碩士,2,0,3,4,2,2,7,24,8,3,0,0,18 新竹市
1011,中華大學,日,學士,1,0,0,0,0,0,0,0,3,0,0,0,18 新竹市
1012,大葉大學,日,博士,44,6,72,22,59,40,0,0,1,1,0,0,07 彰化縣
1012,大葉大學,日,碩士,2,1,9,6,16,15,10,9,13,2,0,0,07 彰化縣
1012,大葉大學,日,學士,0,0,0,0,0,0,0,0,4,0,0,0,07 彰化縣
1012,大葉大學,日,其他,0,0,0,0,0,0,0,0,2,0,0,0,07 彰化縣
1013,華梵大學,日,博士,17,2,37,11,25,10,0,0,0,0,0,0,01 新北市
1013,華梵大學,日,碩士,1,0,1,2,6,2,8,2,2,2,0,1,01 新北市
1013,華梵大學,日,學士,0,0,0,0,0,0,0,0,2,0,0,0,01 新北市
1014,義守大學,日,博士,75,19,147,39,85,73,2,0,14,8,0,0,12 高雄市
1014,義守大學,日,碩士,1,0,3,1,1,1,12,11,9,4,0,0,12 高雄市
1014,義守大學,日,學士,1,0,3,0,1,0,0,0,3,2,0,0,12 高雄市
1014,義守大學,日,其他,0,0,0,0,0,0,0,0,2,0,0,0,12 高雄市
1015,世新大學,日,博士,52,28,58,51,33,23,0,1,1,0,0,0,30 臺北市
1015,世新大學,日,碩士,6,0,7,2,4,4,14,8,6,4,0,0,30 臺北市
1015,世新大學,日,學士,0,0,0,1,0,0,2,0,3,0,0,0,30 臺北市
1015,世新大學,日,其他,0,0,0,0,0,0,0,0,2,0,0,0,30 臺北市
1016,銘傳大學,日,博士,60,23,127,81,111,98,0,0,8,0,0,0,30 臺北市
1016,銘傳大學,日,碩士,3,0,10,11,10,4,22,19,5,1,1,0,30 臺北市
1016,銘傳大學,日,學士,0,1,1,1,0,0,1,1,1,0,0,0,30 臺北市
1016,銘傳大學,日,專科,0,0,0,0,0,1,0,0,0,0,0,0,30 臺北市
1016,銘傳大學,日,其他,0,0,0,0,0,0,0,0,1,0,0,0,30 臺北市
1017,實踐大學,日,博士,22,12,63,33,54,37,0,0,19,22,0,0,30 臺北市
1017,實踐大學,日,碩士,5,2,13,7,18,12,11,21,12,24,0,0,30 臺北市
1017,實踐大學,日,學士,2,0,1,0,0,0,1,1,6,3,0,0,30 臺北市
1017,實踐大學,日,其他,0,0,0,0,0,0,0,0,3,1,0,0,30 臺北市
1018,朝陽科技大學,日,博士,46,11,90,46,74,41,0,0,4,0,0,0,06 臺中市
1018,朝陽科技大學,日,碩士,3,3,6,2,13,10,11,8,15,13,0,0,06 臺中市
1018,朝陽科技大學,日,學士,0,0,0,0,1,0,0,0,3,0,0,0,06 臺中市
1019,高雄醫學大學,日,博士,106,44,74,42,66,68,1,1,7,0,0,0,50 高雄市
1019,高雄醫學大學,日,碩士,16,1,8,5,29,12,8,9,4,2,0,1,50 高雄市
1019,高雄醫學大學,日,學士,16,1,13,2,17,2,3,1,3,0,0,0,50 高雄市
1020,南華大學,日,博士,33,4,42,23,69,40,0,0,1,1,0,0,10 嘉義縣
1020,南華大學,日,碩士,0,0,4,2,0,4,1,0,3,4,0,0,10 嘉義縣
1020,南華大學,日,學士,0,0,0,0,0,0,0,0,3,0,0,0,10 嘉義縣
1021,真理大學,日,博士,24,1,62,27,61,47,0,0,0,0,0,0,01 新北市
1021,真理大學,日,碩士,5,1,15,4,8,5,23,20,2,1,0,0,01 新北市
1021,真理大學,日,學士,0,0,1,0,0,0,0,2,1,5,0,0,01 新北市
1022,大同大學,日,博士,50,5,35,10,22,13,0,0,3,6,0,0,30 臺北市
1022,大同大學,日,碩士,6,0,4,0,4,0,15,10,1,1,0,0,30 臺北市
1022,大同大學,日,學士,0,0,0,0,0,0,1,0,0,0,0,0,30 臺北市
1023,南臺科技大學,日,博士,80,9,151,34,99,61,1,1,0,0,0,0,11 臺南市
1023,南臺科技大學,日,碩士,0,0,16,7,13,5,31,33,7,2,0,2,11 臺南市
